wav_filename,wav_filesize,transcript
sample-chap16-171.wav,38287,ab bas hamen test karavaana chaahie aur aage kee yojana banaanee chaahie  garg saahab kee baat sabhee ko uchit lagee
sample-chap4-162.wav,344024,liphaaphe mein band karake usane amit ko aavaaz lagaee aur patr daal aane ke lie de diya
sample-chap22-33.wav,329912,daaktaron ne aaaipareshan ka sujhaav diya tha aur vah keval bambee mein sambhav tha
sample-chap11-161.wav,285812,priya thee ki usakee baaten sunakar muskuraatee rahee bolee kuchh nahin mukh se
sample-chap26-140.wav,97064,bilkul nichudasee gaee hai
sample-chap8-89.wav,209960,jaise dev ko veena kee is anabhigyata par sanshay tha
sample-chap2-69.wav,227600,ekaek jeevan badalaasa mahasoos hua use
sample-chap20-92.wav,18434,mammee se poochhana mammee kee kitanee seva kee thee unhonne
sample-chap23-77.wav,130580,tab mohan kumaar ne kaha amit se
sample-chap28-83.wav,95300,amit aur kuchh nahin sun saka
sample-chap21-110.wav,241712,aaj veena ka sahaara tha ya phir is laathee ka sahaara
sample-chap25-89.wav,162332,ek baar naukaree mil jae phir sab theek ho jaata hai
sample-chap19-54.wav,35570,geeta ne maan ko pyaar se choom liya aur priya ko gudagudaate hue bolee badee paagal hai too ekting kar rahee hai rone kee
sample-chap25-20.wav,98828,sab theek hai tripaathee saahab
sample-chap19-8.wav,20941,kya theek hain vaise hee hai vahee dard vahee bistar
sample-chap10-85.wav,128816,veena kee muskuraahat phir lupt ho gaee
sample-chap10-171.wav,199376,vah apanee saanson ko aur adhik na rok paaya
sample-chap18-7.wav,34316,dev ne bhee jor diya lekin vah to na jaane kis mittee kee banee hai apane nirnay se talatee nahin
sample-chap26-173.wav,222308,amit kee baat beech mein hee kaat kar bolee nirmala kahaan beta
sample-chap20-101.wav,26166,vah baahar chalane ko hua ki rashmi ne kaha  ab chaay bhee utha kar le jao
sample-chap15-181.wav,30137,jaise aaj use laga tha ki dev ke har bhaav ko vah hee nahin sab jaanate hain
sample-chap30-152.wav,238184,tum log aae ho na aise mein ek saptaah kee pooree chhutee le lee hai
sample-chap30-84.wav,116468,unhen bhee meree yaad aatee hogee
sample-chap22-22.wav,174680,kaun hai jo use theek kar sakata hai kaun
sample-chap24-71.wav,81188,amit bahut roya
sample-chap25-21.wav,269936,kaee dinon se aapase milane kee soch raha tha aur aaj aapase milane chala aaya
sample-chap13-110.wav,9866,kuchh jyaada kaam kar liya
sample-chap26-221.wav,205548,skool pahunche us samay do baj rahe the dopahar ke
sample-chap9-137.wav,262880,vah jo dev ko paane ko betaab thee vah veena ab nahin rahee thee
sample-chap29-202.wav,187028,veena ko lag raha tha jaise vah sapana dekh rahee hai
sample-chap15-228.wav,20524,yah prem bhaav jaise janmajanmaantar ke rishton ka prateek hai
sample-chap24-44.wav,218780,haan ek baat aur mainne jo pahale tumase kabhee nahee kee
sample-chap9-138.wav,183500,ab chaahakar bhee dev kee or nahin badh pa rahee thee
sample-chap17-183.wav,25121,apane se chhotee rajanee ka chitr usakee aankhon mein ghoom raha tha
sample-chap21-74.wav,112940,dev ka nambar doosara hee tha
sample-chap15-195.wav,14881,betee ko dekha maan ne
sample-chap26-145.wav,372248,amit kee baat sun kar nirmala ko laga ki vah jo kuchh bhee kah raha hai usakee soch ke hee anurup hai vah
sample-chap17-135.wav,28047,kuchh samajh nahee aata tha man jaise shoony mein ja khada hota tha
sample-chap29-105.wav,275228,veena maan ko tasallee de rahee thee svayan ko bhee aise hee dilaasa detee thee
sample-chap27-52.wav,169388,ab tum aa gae ho deharaadoon ke pate se de doonga
sample-chap19-188.wav,32853,vahaan gaya to saare upachaar ka kharch itana adhik hoga ki amit ke lie kathinaee hogee
sample-chap21-137.wav,164096,dev ke aansuon ka veg badhane laga tha
sample-chap2-91.wav,146456,kaam ke lie to sambandh sabhee rakhate the
sample-chap29-145.wav,414584,use to ek baat karanee amit se dhyaan rahatee yahaan indiya mein rakha hee kya hai duniyaan kitanee aage nikal gaee hai
sample-chap13-173.wav,30764,usee ke kahane par main aur tumhaare daidee naagapur usakee maan se milane jaana chaah rahe hain
sample-chap23-103.wav,206432,apanee bahan kee khaatir vah bhee kurbaanee de degee
sample-chap14-184.wav,18016,aur amit to apanee patnee ko palakon par bitha kar rakhega
sample-chap25-163.wav,225836,bas khusheekhushee bhaagakar usake lie chaay bana laee
sample-chap7-127.wav,284928,baind ruka to pandit jee ne mantrochchaar se baaraat ka svaagat kiya
sample-chap8-168.wav,152632,veena ko apana sir ghoomata nazar aaya
sample-chap27-28.wav,84716,priya kee chitthee aatee hai
sample-chap21-45.wav,195848,vah veena ke paas baahar hee baith gaee
sample-chap4-70.wav,86480,saaphasaaph likha tha
sample-chap17-122.wav,22404,vah apane badee deedee ke man ko samajhakar natamastak ho gaya tha
sample-chap23-110.wav,456920,prem ko amit ne jaise un sabake vichaaron se avagat karaaya vah ekaek bol utha tum bhee kamaal ke ho amit
sample-chap20-145.wav,9030,aap chinta na karen
sample-chap26-37.wav,222308,veena dekho na tum kaisee pagaleesee baaten karatee ho
sample-chap6-120.wav,164096,naheennaheen ramesh jee ham khaana nahin khaenge
sample-chap30-270.wav,100592,subah sab taiyaar hote
sample-chap30-186.wav,187028,dekho yahaan ke kaayade kaanoon bahut ajeeb hain
sample-chap30-140.wav,290220,shabdon ke bina dard samajhana har kisee ke bas kee baat nahin shaayad
sample-chap14-152.wav,44556,vah bechaaree to yahee kahatee rahee ki patron ka javaab dene ke lie vah apane bade bete ko likhatee thee lekin use unakee chinta nahin
sample-chap8-115.wav,388124,use laga ki yadi vah abhee saaree baaten khul kar nahin bataega to na jaane veena par kya prabhaav padega
sample-chap29-182.wav,123524,geeta kaalej mein lekcharaar thee
sample-chap5-5.wav,599804,aur ghar vaale use rakhate bhee sabase aage the kyonki vahee ek aisa tha jo apanee kamaee ka har paisa bejhijhak apane parivaar par kharch kar deta tha
sample-chap29-260.wav,255824,raasta bahut khoobasoorat hai aur dherasee baaten karate hai
sample-chap16-139.wav,3178,bola
sample-chap15-2.wav,11119,uthakar kamare se baahar aa gaee
sample-chap20-82.wav,11537,main to ghar mein khaana nahin kha sakoongee
sample-chap3-149.wav,549532,aur dev ke kes mein pahale kya tha aakhiree dam tak ilaaj to bavaaseer ka ho raha tha aur ant mein nikala kya baat adhooree chhod dee doktar gupta ne
sample-chap22-35.wav,247004,saath hee ghar ke kisee ek vyakti ko apanee ek kidanee denee pad rahee thee
sample-chap14-153.wav,13418,tab himmat karake ladake ne svayan likha
sample-chap30-135.wav,305216,ham to mammee se bandhe mammee kee duniyaan mein hee mast rahe aur veena phaphakatee rahee
sample-chap17-97.wav,18434,vah mera priy hai use apana priy maano
sample-chap19-75.wav,41630,aaj dev ka sambandh us parivaar se jaise sirph daamaad ka tha aur amit ka ek bete se badhakar
sample-chap13-155.wav,10493,sekretaree ko phees ada kee
sample-chap19-124.wav,5268,aap soch leejie
sample-chap30-24.wav,291104,main to apane beete dinon se kuchh seekhane ke kie kabheekabhaar yaad kar letee hoon unhen
sample-chap30-255.wav,179972,aaj mein to keval veena hee jeetee najar aaee use
sample-chap28-17.wav,114704,paintaalees varsheey vidhur ka
sample-chap11-156.wav,463976,chal paagal kaheen kee kaard ko dekhakar baat kahaan kee kahaan le gaee  priya ne use pyaar se jhidakate hue kaha
sample-chap30-264.wav,137636,jidhar dekho phool hee phool gahare rang
sample-chap11-50.wav,258472,usane apana dhyaan shaareerik sampark se hatha rakha tha
sample-chap22-36.wav,130580,sabhee aanaakaanee kar rahe the
sample-chap10-6.wav,354608,subah se veena ko vah jitana vyast lag raha tha ab utana hee nishchint laga use
sample-chap6-41.wav,344024,pannaalaal va nirmala ne jaise hee ghar mein pravesh kiya saamane unhen ramesh kumaar khada dikha
sample-chap22-193.wav,37088,priya
sample-chap17-86.wav,30137,shaam ko dev ko theek paata to veena va dev ke saath kaheen ghoomane chala jaata tha
sample-chap4-51.wav,451628,aakhir shaadee use apanee pasand ke purush se karanee thee aur yahee use apanee pasand ka lag raha tha
sample-chap16-75.wav,29719,usee bechainee bhare bhaavon se bola  meree rediyotharaipee to huee nahin
sample-chap22-151.wav,178208,kitana pyaar hai deedee ko dev jeeja jee se
sample-chap25-51.wav,139400,main kal hee unhen lekar aa jaunga
sample-chap6-83.wav,149984,usane nau pharavaree kee taareekh nikaalee hai
sample-chap10-207.wav,100592,na dev se na veena se
sample-chap7-124.wav,240828,use kya maaloom tha ki koee usaka divaana ban gaya hai
sample-chap5-135.wav,172916,aur aise mein pannaalaal ka rishta aaya
sample-chap14-150.wav,24703,chhote do bhaee aur hain ve bhee apaneapane kaam mein lage rahate hain
sample-chap25-26.wav,335204,isee beech amit ko dekhakar any kaee lekcharaar jo use dev ke sandarbh mein jaanate the chale aae
sample-chap21-10.wav,179972,tumhaare saath dhokha hua hai chalo yahaan se
sample-chap13-70.wav,12582,baahar unakee sekretaree hee baithee thee
sample-chap7-70.wav,225836,ladakee kaisee hai  mohan ne raahat kee saans lee
sample-chap22-23.wav,241712,bhaavavihval hokar poochha usane ghar aae ek mehamaan se
sample-chap30-274.wav,88244,arun gaadee chalaata
sample-chap8-103.wav,451628,unhonne to kaha tha doosare patr mein bhee likha hai aur hamaaree manganee ke din vah daidee ko baahar lekar bhee gae the
sample-chap14-68.wav,17598,jisane kitanee khushee se sab apana liya hai
sample-chap17-155.wav,33480,maan ka haal poochhatee ho bahanon kee khabar rakhatee ho lekin apane man kee baat kuchh nahin kahatee
sample-chap12-16.wav,169388,sarakaaree naukaree aasaanee se to nahin milatee
sample-chap14-162.wav,19688,maan nirmala ne sahaj bhaav se kaha veena se
sample-chap11-94.wav,679184,yahee poochhane kee chaah hotee usakee ki maan ne priya ke baare mein kuchh likha hai ya nahin aur priya ka patr jab aata to usakee koshish rahatee ki vah usake likhe shabdon ko padh le
sample-chap9-21.wav,171152,himaachal mein kulloo kshetr ka rahane vaala
sample-chap29-98.wav,264644,jo kuchh kiya usake saath usake pati ne phir bhee usane himmat nahee haaree
sample-chap7-66.wav,289340,usane bhee dev ka chekap karake yahee kaha hai ab koee pareshaanee nahin hai
sample-chap3-115.wav,103236,dev ne kaha tab
sample-chap17-141.wav,42257,tumane dev ke prati apana jeevan samarpit kar rakha hai tumhaaree tapasya saphal ho yahee kaamana karatee hoon har dam
sample-chap14-119.wav,30764,maan nirmala va pita pannaalaal ko usane charan sparsh kiya aur unaka haalachaal poochhane laga
sample-chap6-135.wav,148220,vaise vah sankochee svabhaav kee thee
sample-chap8-57.wav,236420,vahaan do inch chauda ek tep laga hua tha
sample-chap13-200.wav,13000,mujhe tumamen prem kee hee chhavi dikhatee hai
sample-chap30-244.wav,153512,us saut ko vah daayan ka darja deta hai
sample-chap3-36.wav,97064,bahut utsaahit thee vah
sample-chap27-85.wav,116468,lekin main hee duvidha mein pada tha
sample-chap28-59.wav,338732,ladake vaalon se yahee bolakar ek saptaah ka samay maang liya ki agale saptaah prem aa raha hai dillee
sample-chap3-113.wav,138520,theek hai bana doonga
sample-chap5-120.wav,421640,bachchon mein ladakon kee padhaee jyaada jarooree samajhakar usakee padhaee rok dee gaee chhathee kaksha ke baad
sample-chap18-112.wav,44765,ekaek amit ko vishvaas nahin hua usakee baat sunakar bolee vah suna hai aap priya ke lie koee upahaar lae hain
sample-chap29-126.wav,284048,varana lagata hai jaise hamaaree gaadee chal rahee hai vaise hee doosaro kee chal rahee hogee
sample-chap8-48.wav,107648,vaah dekho veena
sample-chap28-77.wav,202904,achchhee bhalee thee aur ek din gais ka stov phat jaane se jal gaee
sample-chap9-104.wav,63548,man dherasee
sample-chap15-106.wav,27838,varn svabhaav ke anuroop hota hai varn paristhiti ke anuroop hota hai
sample-chap14-60.wav,11955,ab jo hoga achchha hee hoga
sample-chap18-79.wav,8612,bahut prabhaavit hain aapase
sample-chap29-312.wav,86480,priya bhaavuk hai sada se
sample-chap20-67.wav,13627,are nahin takalluk kee koee baat nahin
sample-chap15-99.wav,25957,jo khushee pahale dekhee thee usake chehare par vahaan gambheerata vidyamaan thee
sample-chap29-347.wav,187028,chalo ab so jao saphar kee thakaan mita lo
sample-chap30-302.wav,65312,bilkul chuppee
sample-chap19-65.wav,22195,priya ke saathasaath meree veena ka dhyaan tumhen rakhana hai
sample-chap11-110.wav,241712,lekin aisa sochakar vah pareshaan bhee ho jaatee thee
sample-chap21-82.wav,188792,sveekrti mein dev ke haath svatah hee jud gae
sample-chap2-216.wav,210840,vaheen rakhee kursee par baithakar vah arun ko dekhane lagee
sample-chap14-165.wav,25330,shaadee ke baad jo kuchh bhee hota hai vah ladakee ke bhaagy mein likha hota hai
sample-chap4-88.wav,400472,ramesh ne use dekhate hue kaha pachaas ke kareeb patr hain unamen se mujhe keval ek patr theek laga hai
sample-chap2-188.wav,148220,ab koee nahin kahega dev kee veena
sample-chap15-209.wav,9239,mera man halka ho gaya
sample-chap23-76.wav,315800,usee ke lie ham vichaaravimarsh kar rahe the aur ab hamen tumhaaree sahaayata kee aavashyakata hai
sample-chap9-173.wav,381068,jo nahin jaanatee thee ya main jisase anjaan thee vah mere saath dhokhe mein hua ya mere bhaagy se
sample-chap7-79.wav,63548,chalo achchhee baat hai
sample-chap5-129.wav,147336,maan ko laga vah ab nahin bachegee
sample-chap7-61.wav,245240,tumane dev ke vishay mein pooree jaanakaaree dee hai na ladakee vaalon ko
sample-chap5-103.wav,336088,bandhee huee aay mein apane parivaar ka kharch chalaaya bade suchaaru roop se nirmala ne
sample-chap18-82.wav,21986,mere lie mere lie kyon aashchary chakit huee priya
sample-chap30-5.wav,416348,saat baje tak subah ka naashta va din bhar ka khaana taiyaar karake vah bachchon ke saathasaath hee kaam par nikal jaatee hai
sample-chap29-60.wav,478088,ek hotal mein vah bhee gandese hotal mein rahoongee aur yaheen se das din baad vaapis maayake laut jaungee aisa nahee jaanatee thee main
sample-chap16-85.wav,13000,unhen dev kee baat sach lag rahee thee
sample-chap27-318.wav,141164,yahee hamaara praayashchit hai usake prati
sample-chap13-187.wav,6313,vah maan se mil sakegee
sample-chap18-130.wav,15717,bola darasal main dekhana chaah raha tha
sample-chap20-183.wav,23031,haan phaayada itana hoga ki rogaanu kam se kam speed mein
sample-chap20-17.wav,15299,veena ne aur koshish kee jaanakaaree dene kee
sample-chap9-66.wav,227600,usake ghar vaalon ne itanee badee baat chhipaakar shaadee kee hai usakee
sample-chap8-135.wav,119996,tabhee main maana
sample-chap18-161.wav,16135,lekin amit achchha ladaka hai bahut achchha
sample-chap17-132.wav,10910,meree pyaaree veena
sample-chap11-10.wav,227600,risarch ke baad do saal tak koee naukaree nahin lagee thee usakee
sample-chap2-15.wav,385476,sabane ekasaath khaana khaaya aur vaheen tay hua ki ve log kal subah dillee vaapis laut jaenge
sample-chap21-134.wav,603332,ye kya dev ekaek yah phoda kaise ho gaya  veena dev ke sir ke baalon ko apanee anguliyon se hataate hue bolee  raat tak to kuchh nahin tha
sample-chap7-130.wav,179972,pandaal ghar ke bheetar hee lagaaya gaya tha
sample-chap17-127.wav,48527,vah priya ke prati apane man mein badhatee divaanagee ko apanee daayaree ke panno mein utaarata rahata tha
sample-chap14-58.wav,18225,mainne sab apane bhaagy par chhod diya hai
sample-chap30-125.wav,134108,priya ke saath sisakane lagee
sample-chap9-68.wav,282284,ghar vaale doshee hain ramesh doshee hai to dev bhee to doshee hai
sample-chap26-111.wav,201140,vah na unakee haan mein tha na hee unakee na mein
sample-chap27-88.wav,125288,inhen anyatha na lena
sample-chap24-52.wav,54728,amit
sample-chap5-33.wav,354608,ek tarah se maalatee use laana nahin chaahatee thee kyonki komal usakee eeshya ka paatr thee
sample-chap16-28.wav,21986,sochate kuchh hain hota vahee hai jo bhaagy mein likha ho
sample-chap14-40.wav,16762,veena kee baat sunakar sann rah gaya amit
sample-chap27-89.wav,125288,blaki tum usaka hissa bhee ho
sample-chap17-96.wav,34734,jab aaj tak usane meree har cheej ka dhyaan rakha hai to tumhaare lie kahaan peechhe rahega
sample-chap14-147.wav,29510,ladake vaalon mein hai hee kaun ladaka hee apane ghar ka kartaadharta hai
sample-chap3-15.wav,88244,ho sakata hai
sample-chap9-124.wav,185264,jaldee mein uthaaya gaya kadam galat bhee ho sakata hai
sample-chap10-41.wav,344024,veena muskuraatee huee bolee  yoon hee priya kah rahee thee kal vaapis jaane ke lie
sample-chap26-38.wav,418112,main to tumase jeevan kee vaastavikata kee baat karana chaah rahee theeaur tum phir bhaavukata kee rau mein bahane lagee
sample-chap25-210.wav,294632,main kah sakatee thee lekin chup thee maanbaaboo jee kya sochenge beta chala gaya
sample-chap28-23.wav,193200,teesara patr tha dillee ke ek naujavaan ka
sample-chap5-107.wav,144692,pita kee dher saaree jameen jaayadaad
sample-chap25-178.wav,426932,dev ke bina to kuchh achchha nahee lagata na yahaan na dillee mein dillee mein dev nahee ab dillee jaane ka man bhee nahee
sample-chap17-179.wav,14672,aansuon kee aviral dhaara bahane lagee
sample-chap10-143.wav,160568,aur usake pyaar mein kho jae
sample-chap9-31.wav,321092,chand minaton mein ratanalaal ghar ka jamaee ghoshit kar diya gaya
sample-chap7-64.wav,112940,meree baat sun rahe ho na
sample-chap10-145.wav,227600,bhool jae ki jo ho chuka hai usamen usaka bhavishy nahin chhipa
sample-chap19-202.wav,10910,tabhee amit ghar aa gaya
sample-chap3-123.wav,254944,jitana vyakti paaaijitiv hota hai utanee hee jaldee theek ho jaata hai
sample-chap4-78.wav,564524,ramesh ko jaise vah ladakee bhee bha gaee thee aisa lag raha tha usake shabdon se vaise bhee yah vyakti achchhee post se ritaayar hua hai
sample-chap10-189.wav,125288,veena kuchh samajh na paee
sample-chap19-205.wav,13000,kya hua dev  usane poochha
sample-chap6-149.wav,449864,dev ka svabhaav hee kuchh aisa tha ki shuroo se hee ghar mein usase ya usake saamane koee bhee adhik nahin bolata tha
sample-chap21-153.wav,178208,tum aansoo na bahao jahaan le chalogee vaheen chaloonga
sample-chap16-184.wav,32853,vahee usake jeevan ka abhinn ang hai aur isee ang se use sabase adhik prem hai
sample-chap26-330.wav,336968,lekin vah na to aise parivesh mein paleebadee thee aur na hee usaka kabhee aisa sapana tha
sample-chap11-104.wav,197612,kaheen bhee apana naam na likha milata
sample-chap9-23.wav,284048,doktaree kee padhaee ke baad vaheen sarakaaree aspataal mein naukaree lag gaee thee usakee
